user_id,scheme_name,gender,age,marital_status,state,area_of_residence,social_category,minority_status,disability_status,bpl_category,is_student,employment_status,occupation,income_annum,single_parent_child,risk_score
88803,Atal Pension Yojana,Female,24,Unmarried,Telangana,Urban,ST,Yes,No,APL,No,Self Employed,Farmer,361612,No,0.8141443244776273
79581,Pradhan Mantri Gramin Awaas Yojana,Other,51,Divorced,Rajasthan,Rural,General,No,Yes,BPL,No,Private Employed,Labourer,112498,No,0.9612614085374813
28340,Pradhan Mantri Shram Yogi Maandhan (PM-SYM),Other,39,Widow,Rajasthan,Urban,ST,No,No,BPL,No,Unemployed,Auto Driver,17625,No,1.0
46511,Pradhan Mantri Awas Yojana (Rural),Female,44,Unmarried,Rajasthan,Rural,ST,No,No,BPL,No,Government Employed,Engineer,110566,Yes,0.7765452442015611
81452,Atal Pension Yojana,Other,20,Divorced,Telangana,Urban,SC,No,No,APL,No,Private Employed,Shopkeeper,1565167,No,0.6343900727136988
79360,Stand-Up India,Female,30,Widow,Andhra Pradesh,Rural,ST,Yes,No,BPL,Yes,Self Employed,Student,102250,Yes,1.0
59584,Farmer Support,Other,54,Widow,Telangana,Rural,General,No,No,BPL,No,Self Employed,Farmer,98635,Yes,1.0
92737,Maternity Benefit,Female,36,Married,Maharashtra,Urban,OBC,No,Yes,BPL,No,Self Employed,Software Engineer,104587,No,0.9433833774540284
74533,Pradhan Mantri Mudra Yojana,Male,58,Married,Bihar,Rural,ST,Yes,No,APL,No,Self Employed,Self Employed,1779144,Yes,0.8252777223961836
84371,Sukanya Samriddhi Yojana,Female,1,Unmarried,Bihar,Urban,SC,No,Yes,APL,No,Employed,None,1033972,No,0.6551778007149743
62200,Pradhan Mantri Awas Yojana (Rural),Female,53,Widow,Telangana,Rural,SC,Yes,Yes,BPL,No,Self Employed,Software Engineer,141698,No,1.0
92221,Janani Suraksha Yojana,Female,26,Married,Kerala,Urban,General,Yes,No,BPL,No,Employed,Software Engineer,44397,No,0.8659171070069919
49767,Pradhan Mantri Gramin Awaas Yojana,Other,50,Widow,Bihar,Rural,OBC,No,No,BPL,No,Unemployed,Software Engineer,138124,Yes,0.8093895468212121
17608,Small Business Loan,Female,36,Widow,Karnataka,Urban,SC,Yes,Yes,APL,No,Self Employed,Self Employed,793697,No,1.0
64292,Van Dhan Yojana,Other,19,Unmarried,Kerala,Rural,ST,No,No,APL,No,Private Employed,Labourer,1192079,No,0.6034557907569146
47541,National Health Mission,Other,54,Widow,Andhra Pradesh,Rural,OBC,Yes,No,APL,No,Private Employed,Labourer,427101,Yes,0.7434832167188051
82663,National Health Mission,Male,39,Married,Tamil Nadu,Rural,ST,No,No,BPL,No,Employed,Unemployed,48832,Yes,0.9758701218198675
10828,Van Dhan Yojana,Other,41,Divorced,Bihar,Rural,ST,No,No,BPL,No,Employed,Shopkeeper,143136,No,0.7094035538907575
70435,Agri-Clinics and Agri-Business Centres,Other,40,Unmarried,Tamil Nadu,Urban,General,No,Yes,APL,No,Self Employed,Student,1299824,No,0.7390471151090631
58801,Stand-Up India,Male,26,Divorced,Bihar,Urban,SC,Yes,No,BPL,No,Self Employed,Shopkeeper,32684,No,1.0
66342,Student Scholarship,Other,20,Divorced,Maharashtra,Rural,General,No,Yes,BPL,Yes,Unemployed,Student,105215,Yes,0.9869720206776704
25900,PM-KISAN,Other,45,Unmarried,Kerala,Rural,ST,No,No,BPL,No,Self Employed,Farmer,19890,Yes,1.0
74168,Start-up Village Entrepreneurship Programme,Female,53,Married,Maharashtra,Rural,OBC,No,No,APL,No,Self Employed,Labourer,157874,Yes,0.6814487447801482
31114,Pradhan Mantri Awas Yojana (Rural),Female,28,Divorced,Maharashtra,Rural,OBC,Yes,Yes,BPL,No,Private Employed,Farmer,145090,No,0.7847857190838426
60679,Ayushman Bharat (PM-JAY),Male,51,Unmarried,Delhi,Rural,General,No,Yes,BPL,No,Private Employed,Teacher,51286,No,0.7679179111130732
55645,National Fellowship for OBC Students,Male,21,Widow,Kerala,Rural,OBC,No,Yes,BPL,Yes,Unemployed,Student,38749,No,1.0
84685,PMGDISHA,Female,47,Married,Tamil Nadu,Rural,General,Yes,No,BPL,No,Unemployed,Farmer,124730,Yes,0.7068834141261738
71030,Sukanya Samriddhi Yojana,Female,2,Unmarried,Andhra Pradesh,Urban,SC,Yes,Yes,APL,No,Employed,None,687351,Yes,1.0
48425,Pradhan Mantri Awas Yojana (Rural),Female,29,Married,Maharashtra,Rural,OBC,Yes,Yes,BPL,No,Private Employed,Self Employed,31173,No,1.0
11611,National Health Mission,Male,35,Widow,Bihar,Rural,SC,No,No,BPL,No,Unemployed,Doctor,129305,No,0.8515486396652024
10783,Atal Pension Yojana,Male,23,Unmarried,Kerala,Urban,SC,No,Yes,BPL,No,Government Employed,Auto Driver,84749,Yes,1.0
47739,PM-KISAN,Other,43,Unmarried,Delhi,Rural,ST,No,No,BPL,No,Self Employed,Farmer,42431,No,0.8431510404967084
87104,Farmer Support,Female,40,Married,Bihar,Rural,OBC,No,No,BPL,No,Self Employed,Farmer,139878,Yes,0.7675716538892966
42803,Maternity Benefit,Female,34,Married,Tamil Nadu,Urban,General,No,No,BPL,No,Employed,Shopkeeper,149024,Yes,0.6358490601661182
32207,Janani Suraksha Yojana,Female,38,Married,Maharashtra,Rural,General,Yes,Yes,BPL,No,Government Employed,Shopkeeper,60022,No,0.7677951490964665
15666,Post Matric Scholarship for SC Students,Female,23,Widow,Karnataka,Urban,SC,No,Yes,APL,Yes,Unemployed,Student,1910368,Yes,1.0
53137,Ayushman Bharat (PM-JAY),Female,56,Divorced,Maharashtra,Urban,General,Yes,No,BPL,No,Unemployed,Shopkeeper,136137,No,0.6854965591447884
92611,PM-KISAN,Male,49,Widow,Rajasthan,Rural,General,No,Yes,APL,No,Self Employed,Farmer,216840,No,0.8522281944979815
87165,PM-KISAN,Male,22,Widow,Tamil Nadu,Rural,General,Yes,No,BPL,No,Self Employed,Farmer,58713,Yes,1.0
40141,Maternity Benefit,Female,19,Married,Tamil Nadu,Rural,OBC,Yes,No,BPL,No,Private Employed,Private Sector Worker,85535,No,0.790201231768627
30849,Post Matric Scholarship for SC Students,Other,21,Widow,Tamil Nadu,Urban,SC,No,Yes,BPL,Yes,Unemployed,Student,33964,Yes,0.9546086560001726
97690,Pradhan Mantri Awas Yojana (Rural),Other,29,Unmarried,Tamil Nadu,Rural,SC,Yes,No,BPL,Yes,Employed,Student,146813,Yes,1.0
47971,Old Age Pension,Female,81,Unmarried,Delhi,Urban,OBC,Yes,No,BPL,No,Unemployed,None,30183,Yes,1.0
17025,Student Scholarship,Male,25,Divorced,Tamil Nadu,Rural,SC,Yes,Yes,BPL,Yes,Unemployed,Student,79462,No,1.0
19234,Stand-Up India,Female,27,Divorced,Karnataka,Urban,OBC,Yes,No,BPL,No,Self Employed,Teacher,103025,Yes,0.9534842323155515
96667,Maternity Benefit,Female,37,Married,Kerala,Urban,General,No,Yes,APL,No,Private Employed,Unemployed,1879652,No,0.5452285720509407
67853,Janani Suraksha Yojana,Female,21,Married,Karnataka,Rural,ST,No,Yes,BPL,No,Employed,Software Engineer,82333,Yes,1.0
51920,Farmer Support,Female,57,Widow,Telangana,Rural,OBC,Yes,Yes,APL,No,Self Employed,Farmer,1463840,Yes,0.8820221346114979
71335,Skill India Mission,Male,30,Divorced,Telangana,Rural,OBC,No,No,BPL,No,Self Employed,Unemployed,124328,Yes,0.6873363452430393
47327,Post Matric Scholarship for SC Students,Female,22,Married,Delhi,Rural,SC,No,Yes,APL,Yes,Unemployed,Student,1271822,Yes,0.8926399791773838
59885,Ayushman Bharat (PM-JAY),Other,21,Widow,Delhi,Rural,ST,Yes,No,BPL,No,Employed,Self Employed,149873,No,0.8692064182668798
16304,Atal Pension Yojana,Male,18,Divorced,Rajasthan,Urban,General,Yes,No,BPL,No,Unemployed,Labourer,10585,Yes,1.0
33920,Agri-Clinics and Agri-Business Centres,Other,29,Divorced,Andhra Pradesh,Rural,ST,Yes,Yes,APL,No,Unemployed,Student,1558067,Yes,0.8334544840216935
95931,Ayushman Bharat (PM-JAY),Other,33,Divorced,Maharashtra,Urban,SC,Yes,No,BPL,No,Employed,Engineer,20240,Yes,1.0
85835,Small Business Loan,Female,44,Divorced,Tamil Nadu,Urban,General,No,Yes,APL,No,Self Employed,Auto Driver,831316,Yes,0.702736658274935
57713,PMGDISHA,Female,30,Unmarried,Kerala,Rural,SC,No,Yes,BPL,No,Employed,Self Employed,14546,No,1.0
59010,Old Age Pension,Other,64,Widow,Kerala,Rural,ST,Yes,Yes,BPL,No,Unemployed,None,45919,Yes,1.0
96683,Pradhan Mantri Mudra Yojana,Male,47,Married,Kerala,Rural,OBC,No,Yes,BPL,No,Self Employed,Auto Driver,73495,No,0.8099071349696697
22958,Ayushman Bharat (PM-JAY),Other,20,Married,Karnataka,Rural,OBC,No,Yes,BPL,No,Unemployed,Software Engineer,36051,No,0.8974766990306208
85375,Student Scholarship,Female,20,Divorced,Rajasthan,Rural,ST,No,Yes,APL,Yes,Unemployed,Student,782911,No,0.9939084344637008
22033,Old Age Pension,Male,67,Unmarried,Delhi,Urban,General,Yes,No,BPL,No,Unemployed,None,91243,Yes,0.7386142814456196
72320,Student Scholarship,Male,24,Married,Rajasthan,Rural,General,Yes,Yes,APL,Yes,Unemployed,Student,543364,No,0.6609791636960483
57679,Small Business Loan,Female,42,Married,Andhra Pradesh,Rural,General,Yes,No,BPL,No,Self Employed,Self Employed,136391,Yes,0.8745554145410742
72973,Old Age Pension,Female,62,Divorced,Andhra Pradesh,Rural,OBC,No,No,BPL,No,Unemployed,None,134981,No,0.7226009301838651
55168,Farmer Support,Female,39,Widow,Rajasthan,Rural,General,No,Yes,BPL,No,Self Employed,Farmer,72171,Yes,1.0
60685,Pradhan Mantri Shram Yogi Maandhan (PM-SYM),Female,24,Divorced,Rajasthan,Urban,SC,Yes,No,APL,No,Private Employed,Auto Driver,1822055,Yes,0.7532500616872724
51394,Old Age Pension,Other,89,Divorced,Uttar Pradesh,Urban,OBC,Yes,No,BPL,No,Unemployed,None,109505,Yes,0.8295660152722666
86376,Van Dhan Yojana,Female,19,Married,Karnataka,Rural,ST,No,Yes,APL,No,Self Employed,Software Engineer,1270728,Yes,0.7451984195303802
80302,National Fellowship for OBC Students,Male,29,Married,Kerala,Urban,OBC,No,No,APL,Yes,Unemployed,Student,1576173,No,0.4407710760567857
45999,Atal Pension Yojana,Female,38,Widow,Bihar,Rural,ST,Yes,Yes,APL,No,Unemployed,Auto Driver,837459,No,1.0
60839,Start-up Village Entrepreneurship Programme,Male,24,Widow,Uttar Pradesh,Rural,OBC,Yes,Yes,BPL,No,Self Employed,Labourer,11932,No,1.0
28897,Maternity Benefit,Female,32,Married,Rajasthan,Urban,SC,Yes,No,APL,No,Unemployed,Shopkeeper,1162240,No,0.8232905353336842
92705,Ayushman Bharat (PM-JAY),Male,26,Unmarried,Uttar Pradesh,Rural,SC,No,No,BPL,No,Self Employed,Labourer,131505,No,0.6413237598723001
74884,Start-up Village Entrepreneurship Programme,Other,18,Divorced,Tamil Nadu,Rural,SC,Yes,Yes,APL,No,Self Employed,Teacher,884723,No,0.7961613381177309
65993,Student Scholarship,Female,24,Divorced,Karnataka,Rural,ST,No,No,BPL,Yes,Unemployed,Student,52477,No,0.9053696484553884
27414,Pradhan Mantri Awas Yojana (Rural),Female,32,Unmarried,Maharashtra,Rural,OBC,No,Yes,BPL,No,Private Employed,Doctor,75784,No,0.8756481468162253
67507,Ujjwala Yojana,Female,45,Divorced,Karnataka,Rural,OBC,Yes,Yes,BPL,No,Unemployed,Engineer,148628,No,0.7564799687176602
56621,Pradhan Mantri Gramin Awaas Yojana,Male,50,Widow,Bihar,Rural,OBC,No,No,BPL,No,Government Employed,Shopkeeper,25068,Yes,0.9482395959092634
80306,Stand-Up India,Female,34,Divorced,Kerala,Urban,SC,No,No,BPL,No,Self Employed,Engineer,94795,Yes,1.0
21145,Janani Suraksha Yojana,Female,24,Married,Delhi,Urban,SC,No,Yes,BPL,No,Private Employed,Labourer,100071,No,1.0
44251,Stand-Up India,Female,32,Widow,Uttar Pradesh,Urban,ST,Yes,No,APL,No,Self Employed,Self Employed,547158,No,0.7253675466121667
97176,Janani Suraksha Yojana,Female,31,Married,Rajasthan,Rural,OBC,No,Yes,BPL,No,Self Employed,Farmer,86295,Yes,1.0
59106,Maternity Benefit,Female,30,Married,Kerala,Urban,SC,Yes,Yes,BPL,No,Unemployed,Shopkeeper,21800,No,1.0
42918,PM-KISAN,Female,29,Unmarried,Uttar Pradesh,Rural,General,No,No,APL,No,Self Employed,Farmer,677867,Yes,0.5401075781365587
42531,National Health Mission,Other,27,Divorced,Uttar Pradesh,Urban,OBC,Yes,No,APL,Yes,Government Employed,Student,1509436,No,0.4521524735631379
52825,Farmer Support,Female,19,Divorced,Andhra Pradesh,Rural,General,No,No,BPL,No,Self Employed,Farmer,60652,No,0.7930847535753409
29444,Pradhan Mantri Mudra Yojana,Other,51,Married,Telangana,Rural,ST,Yes,No,APL,No,Self Employed,Shopkeeper,1110899,No,0.7420094897203162
92939,National Health Mission,Male,32,Unmarried,Bihar,Urban,General,No,No,BPL,No,Employed,Unemployed,13887,Yes,0.9743762415172951
86135,Skill India Mission,Female,28,Widow,Tamil Nadu,Urban,ST,No,No,APL,No,Unemployed,Unemployed,975630,No,0.6921705332710825
40487,Pradhan Mantri Awas Yojana (Rural),Male,36,Unmarried,Rajasthan,Rural,ST,Yes,No,BPL,No,Government Employed,Private Sector Worker,65181,Yes,0.9347400951330795
77669,Pradhan Mantri Shram Yogi Maandhan (PM-SYM),Other,19,Divorced,Kerala,Rural,General,Yes,No,BPL,No,Unemployed,Auto Driver,23748,Yes,0.948331510762632
95458,Van Dhan Yojana,Female,46,Divorced,Bihar,Rural,ST,No,Yes,APL,No,Self Employed,Engineer,1757349,No,0.7173913467496297
33012,Sukanya Samriddhi Yojana,Female,1,Unmarried,Rajasthan,Rural,OBC,Yes,Yes,BPL,No,Government Employed,None,21949,Yes,1.0
77125,Ayushman Bharat (PM-JAY),Other,53,Widow,Kerala,Urban,SC,Yes,Yes,BPL,No,Private Employed,Doctor,144858,Yes,1.0
61385,Pradhan Mantri Mudra Yojana,Female,36,Divorced,Andhra Pradesh,Rural,OBC,Yes,Yes,APL,No,Self Employed,Shopkeeper,474878,Yes,0.695726364011457
81772,Agri-Clinics and Agri-Business Centres,Other,27,Married,Andhra Pradesh,Urban,General,No,Yes,BPL,No,Unemployed,Student,35253,No,0.9156936970559221
38510,Small Business Loan,Female,39,Divorced,Andhra Pradesh,Urban,ST,No,Yes,APL,No,Self Employed,Self Employed,1390824,No,0.7350389399013941
19437,Post Matric Scholarship for SC Students,Female,20,Divorced,Karnataka,Rural,SC,No,Yes,APL,Yes,Unemployed,Student,980042,No,0.6453443551565891
43697,Ayushman Bharat (PM-JAY),Other,42,Married,Maharashtra,Rural,ST,Yes,No,BPL,No,Government Employed,Doctor,78252,Yes,0.9105985305623521
79068,Farmer Support,Male,52,Widow,Uttar Pradesh,Rural,OBC,No,Yes,APL,No,Self Employed,Farmer,976266,Yes,0.7502168734157428
62081,Post Matric Scholarship for SC Students,Other,25,Unmarried,Delhi,Rural,SC,No,No,BPL,Yes,Unemployed,Student,57801,No,0.8755591461389854
93392,Pradhan Mantri Mudra Yojana,Female,34,Widow,Bihar,Urban,SC,No,Yes,APL,No,Self Employed,Self Employed,1131620,Yes,0.8140567191274135
41942,Van Dhan Yojana,Other,29,Married,Rajasthan,Rural,ST,Yes,Yes,BPL,No,Self Employed,Unemployed,82095,Yes,1.0
91176,Skill India Mission,Other,31,Widow,Telangana,Rural,SC,No,No,BPL,No,Self Employed,Unemployed,22325,Yes,1.0
72232,National Fellowship for OBC Students,Other,28,Unmarried,Rajasthan,Rural,OBC,Yes,Yes,APL,Yes,Unemployed,Student,1061276,Yes,0.8114304161752731
15821,Ujjwala Yojana,Female,31,Married,Uttar Pradesh,Rural,OBC,Yes,No,BPL,No,Employed,Shopkeeper,48972,No,0.9276083087457722
63113,Pradhan Mantri Mudra Yojana,Other,51,Married,Karnataka,Rural,SC,Yes,Yes,APL,No,Self Employed,Shopkeeper,1254123,No,0.7967776900048391
32171,Ujjwala Yojana,Female,37,Married,Maharashtra,Rural,General,Yes,Yes,BPL,No,Government Employed,Unemployed,20621,Yes,1.0
27683,Maternity Benefit,Female,35,Married,Rajasthan,Rural,ST,No,No,BPL,No,Government Employed,Self Employed,110942,No,0.8672928178391471
36491,Post Matric Scholarship for SC Students,Male,22,Divorced,Uttar Pradesh,Rural,SC,Yes,No,BPL,Yes,Unemployed,Student,50513,No,0.9391827757006492
75665,Old Age Pension,Other,75,Unmarried,Rajasthan,Urban,General,Yes,Yes,BPL,No,Unemployed,None,95771,Yes,1.0
84325,PM-KISAN,Male,59,Married,Kerala,Rural,General,Yes,No,BPL,No,Self Employed,Farmer,146215,No,0.7250875097145393
96230,Pradhan Mantri Shram Yogi Maandhan (PM-SYM),Other,33,Unmarried,Telangana,Urban,General,No,Yes,APL,No,Private Employed,Labourer,1266771,No,0.649783348135359
41368,Old Age Pension,Male,78,Divorced,Rajasthan,Rural,General,No,Yes,BPL,No,Unemployed,None,27110,Yes,1.0
22963,Small Business Loan,Male,59,Widow,Delhi,Rural,ST,No,No,APL,No,Self Employed,Shopkeeper,331376,Yes,0.7848164328893297
96956,Sukanya Samriddhi Yojana,Female,0,Unmarried,Uttar Pradesh,Rural,General,Yes,No,BPL,No,Private Employed,None,105413,No,0.7563820213364782
99857,Maternity Benefit,Female,24,Married,Maharashtra,Rural,SC,No,Yes,APL,No,Employed,Labourer,611481,No,0.8974908179554881
98918,Agri-Clinics and Agri-Business Centres,Female,30,Divorced,Uttar Pradesh,Urban,General,No,No,APL,No,Unemployed,Unemployed,855656,Yes,0.4553080406362592
61485,PM-KISAN,Male,57,Widow,Delhi,Rural,ST,No,No,BPL,No,Self Employed,Farmer,144178,Yes,0.9712067699063872
61755,Sukanya Samriddhi Yojana,Female,0,Unmarried,Andhra Pradesh,Urban,SC,No,No,BPL,No,Self Employed,None,24939,Yes,0.9160432937242078
42729,Janani Suraksha Yojana,Female,29,Married,Uttar Pradesh,Urban,OBC,No,No,BPL,No,Unemployed,Unemployed,130099,Yes,0.722866942970615
40250,Agri-Clinics and Agri-Business Centres,Female,22,Unmarried,Maharashtra,Urban,General,No,No,BPL,No,Unemployed,Unemployed,95681,Yes,0.8015352685230679
63492,Pradhan Mantri Mudra Yojana,Male,50,Widow,Rajasthan,Rural,ST,Yes,No,APL,No,Self Employed,Shopkeeper,494832,No,0.8612943958140008
17727,National Health Mission,Male,41,Unmarried,Tamil Nadu,Urban,ST,Yes,Yes,APL,No,Self Employed,Unemployed,1874077,Yes,0.8855557485820249
43705,Old Age Pension,Female,63,Married,Telangana,Rural,OBC,Yes,Yes,BPL,No,Unemployed,None,66089,No,0.7940553437147329
24065,Maternity Benefit,Female,33,Married,Andhra Pradesh,Rural,ST,Yes,Yes,APL,No,Employed,Software Engineer,696045,Yes,0.7576645890194147
29453,Pradhan Mantri Gramin Awaas Yojana,Other,24,Married,Maharashtra,Rural,SC,Yes,Yes,BPL,No,Government Employed,Self Employed,134842,Yes,1.0
81417,Start-up Village Entrepreneurship Programme,Other,30,Married,Karnataka,Rural,General,No,Yes,APL,Yes,Self Employed,Student,1023250,Yes,0.7224966728742459
16899,Ayushman Bharat (PM-JAY),Male,50,Unmarried,Delhi,Rural,OBC,Yes,No,BPL,No,Employed,Labourer,11750,No,0.9862200281915781
58651,Ayushman Bharat (PM-JAY),Female,54,Unmarried,Maharashtra,Rural,General,No,Yes,BPL,No,Employed,Engineer,55378,Yes,1.0
55148,Pradhan Mantri Mudra Yojana,Other,25,Married,Tamil Nadu,Urban,General,Yes,Yes,APL,No,Self Employed,Self Employed,209761,Yes,0.77601767445138
29184,National Fellowship for OBC Students,Other,22,Divorced,Tamil Nadu,Rural,OBC,Yes,Yes,APL,Yes,Unemployed,Student,770221,Yes,0.6839068599577269
23692,Student Scholarship,Other,17,Unmarried,Bihar,Rural,General,No,Yes,BPL,Yes,Unemployed,Student,14677,Yes,1.0
29137,Pradhan Mantri Awas Yojana (Rural),Male,31,Widow,Tamil Nadu,Rural,SC,Yes,Yes,BPL,No,Unemployed,Unemployed,143734,Yes,0.947794368041048
46498,Farmer Support,Male,47,Divorced,Andhra Pradesh,Rural,OBC,Yes,No,APL,No,Self Employed,Farmer,1589955,No,0.4357872904125942
76533,Post Matric Scholarship for SC Students,Female,23,Widow,Bihar,Urban,SC,Yes,Yes,BPL,Yes,Unemployed,Student,24879,Yes,1.0
29313,Small Business Loan,Female,23,Unmarried,Bihar,Rural,ST,No,No,BPL,No,Self Employed,Shopkeeper,142403,Yes,0.8450831514775318
